,TotalSpend
TotalSpend,1
income,0.355851431
carvalue,0.306784059
othdebt,0.260430002
creddebt,0.233369958
ed,0.098076777
wireten,0.097512988
wiremon,0.087177227
tollten,0.086512223
equipten,0.081837139
tollmon,0.075055714
equipmon,0.070677192
employ,0.069521777
cardtenure,0.053348164
tenure,0.053159125
address,0.047610692
hourstv,0.044615561
longmon,0.036063114
cardten,0.028456979
pets_reptiles,0.02146284
cardmon,0.016715414
debtinc,0.016103965
cars,0.014108502
pets_dogs,0.007291459
age,0.007270172
commutetime,0.005384325
reside,0.003823897
pets_saltfish,0.003564484
pets_cats,0.002657991
pets_small,-0.003718748
pets,-0.004738785
pets_freshfish,-0.006441657
pets_birds,-0.018380925
